donorID,gender,year,Population / km²,donations,months as donor,frequency,months since gift,avg donation,donates outside campaign,donors/1000 in area,region_Brussels,region_Flanders,region_Wallonia,province_Antwerp,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Namur,province_Walloon Brabant,province_West Flanders,lang_EN,lang_FR,lang_NL
100082,0.0,1963.0,405.2616475852941,15.0,83.0,0.18072289156626506,94.0,18.417333333333332,1.0,5.54470909800859,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100090,1.0,1970.0,10232.118959168907,1.0,0.0,0.0,77.0,10.0,0.0,2.3291301903461568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100093,1.0,1988.0,1672.8934654097072,1.0,0.0,0.0,43.0,10.0,0.0,0.7788867353777601,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100094,0.0,1993.0,10232.118959168907,5.0,19.0,0.2631578947368421,57.0,12.0,0.0,2.3291301903461568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100095,0.0,1948.0,660.233054821366,13.0,77.0,0.16883116883116883,89.0,27.194615384615382,0.0,1.4476144520176126,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100096,1.0,1971.0,16228.482216805809,14.0,76.0,0.18421052631578946,89.0,6.33,0.0,0.7079682337731629,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100097,1.0,1967.0,10232.118959168907,5.0,106.0,0.04716981132075472,45.0,19.984,0.0,2.3291301903461568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100100,0.0,1971.0,18514.79204748004,3.0,36.0,0.08333333333333333,39.0,40.0,0.0,1.0459299681673486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100101,1.0,1985.0,10124.427783668405,13.0,89.0,0.14606741573033707,83.0,27.194615384615382,1.0,1.4466270747677783,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100103,0.0,1957.0,7764.8380559838515,1.0,0.0,0.0,43.0,10.0,0.0,1.941404871161313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100105,1.0,1994.0,10124.427783668405,1.0,0.0,0.0,53.0,20.0,0.0,1.4466270747677783,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100107,0.0,1958.0,10124.427783668405,4.0,41.0,0.0975609756097561,52.0,10.0,1.0,1.4466270747677783,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100112,0.0,1971.0,5494.241531424213,2.0,16.0,0.125,37.0,24.5,0.0,0.36868692427060523,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100114,0.0,1958.0,1662.323722138443,8.0,31.0,0.25806451612903225,131.0,7.130000000000001,0.0,0.3928014369668102,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
